지번주소,도로명주소,사업장명,위도,경도,kakao_blog_review,kakao_star,kakao_star_nums,kakao_keyword
수유동,서울특별시 강북구 삼양로 454 (수유동),로얄PC,37.6438891,127.016281,0,0,0,수유동 로얄PC
수유동,서울특별시 강북구 삼양로 516  (수유동(4층)),블리자드,37.64909,127.0141638,0,5,1,수유동 블리자드
우이동,서울특별시 강북구 삼양로 623 지층 (우이동),유니넷PC방,37.6584593,127.0135429,0,0,0,우이동 유니넷PC방
수유동,서울특별시 강북구 삼양로117길 37  (수유동1층),미션#1 장미원점,37.6440361,127.0141469,0,0,0,수유동 미션#1 장미원점
수유동,서울특별시 강북구 삼양로117길 5  (수유동3층),스카이PC방,37.6434226,127.0157373,0,0,0,수유동 스카이PC방
수유동,서울특별시 강북구 삼양로123길 1 삼원빌딩 지하1층 (수유동),비원PC,37.6447797,127.0154734,0,1,1,수유동 비원PC
수유동,서울특별시 강북구 삼양로123길 10 (수유동),로마루 PC,37.6449497,127.0153191,0,0,0,수유동 로마루 PC
수유동,서울특별시 강북구 삼양로123길 27  (수유동2층),인터파크,37.6446039,127.0140883,0,1,2,수유동 인터파크
수유동,서울특별시 강북구 삼양로73길 21  (수유동2층),블리자드,37.6301263,127.0170857,0,5,1,수유동 블리자드
수유동,서울특별시 강북구 삼양로77길 25  (수유동2층),웹시티 PC방,37.6297115,127.0168913,0,0,0,수유동 웹시티 PC방
수유동,서울특별시 강북구 삼양로79길 20 (수유동),허브PC,37.6309675,127.0166124,0,1,1,수유동 허브PC
수유동,서울특별시 강북구 삼양로91길 11-15  (수유동1층),루키죤PC방,37.6360838,127.0164652,0,0,0,수유동 루키죤PC방
미아동,서울특별시 강북구 솔매로 102 2층 (미아동),세븐 PC방,37.6254878,127.0236107,0,1,1,미아동 세븐 PC방
미아동,서울특별시 강북구 솔매로 66 2층 (미아동),신게임PC방,37.6247443,127.0196115,0,0,0,미아동 신게임PC방
미아동,서울특별시 강북구 솔매로 70  (미아동지하),초콜릿PC방,37.6247483,127.0198823,0,0,0,미아동 초콜릿PC방
미아동,서울특별시 강북구 솔매로28길 1 2층 (미아동),스카이PC,37.6247355,127.0200937,0,0,0,미아동 스카이PC
미아동,서울특별시 강북구 솔샘로 225 3층 (미아동),피에스타PC,37.6201561,127.0177752,0,0,0,미아동 피에스타PC
미아동,서울특별시 강북구 솔샘로 264 (미아동2층),비발디 PC방,37.6190805,127.0216602,0,0,0,미아동 비발디 PC방
수유동,서울특별시 강북구 수유로 63  (수유동2층),winner,37.6360796,127.0206447,1,0,0,수유동 winner
